Cenxi Asset Snapshot ,,,,,,,,,隐私开关,👁️显示金额,,
,,,,,,,,,说明,FALSE,,
总资产 USD,****,,7D 变化,4.96%,,,,,,,,
现金 USD,****,,30D 变化,2.42%,,,,,,,,
黄金 USD,****,,数据质量,HIDDEN,,,,,,,,
美股 USD,****,,口径,真值模式,,,,,,,,
,,,,,,,最近7天明细,,,,,
,,,,,,,日期,现金USD,黄金USD,美股USD,总资产USD,净值
,,,,,,,2026-02-17,****,****,****,****,1.21
,,,,,,,2026-02-18,****,****,****,****,1.22
,,,,,,,2026-02-19,****,****,****,****,1.25
,,,,,,,2026-02-20,****,****,****,****,1.26
,,,,,,,2026-02-21,****,****,****,****,1.26
,,,,,,,2026-02-22,****,****,****,****,1.27
,,,,,,,2026-02-23,****,****,****,****,1.25
,,,,,,,右侧速览,,,,,
,,,,,,,最新日期,2026-02-23,最新净值,1.25,7D涨跌,4.59%
,,,,,,,隐私模式,隐藏金额,口径,真值模式,数据质量,HIDDEN
